Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side to,Next port of call,Ref,Delay,Size,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info
AURORA - 09B/09B,aurora,ISX3B,2021-03-28 07:30:00,2021-04-04 05:31:00,SCT1,Starboard,"Liverpool, United Kingdom",09B/09B,9961.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,13.0
AURORA - 10B/10B,aurora,ISX3B,2021-04-08 07:30:00,2021-04-17 22:22:00,SCT1,Starboard,"Liverpool, United Kingdom",10B/10B,13852.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,14.0
AURORA - 11B/11B,aurora,ISX3,2021-04-26 19:30:00,2021-05-04 15:05:00,SCT1,Starboard,"Rotterdam, Netherlands",11B/11B,11255.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,12.0
AURORA - 12B/12B,aurora,ISX3,2021-05-03 11:59:00,2021-05-08 21:00:00,SCT1,Starboard,"Rotterdam, Netherlands",12B/12B,7741.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,13.0
AURORA - 28A/28A,aurora,ISX3,2021-06-07 19:30:00,2021-06-12 15:51:00,SCT1,Starboard,"Rotterdam, Netherlands",28A/28A,6981.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,9.0
AURORA - 29B/29B,aurora,ISX3B,2020-09-25 19:30:00,2020-09-26 23:30:00,SCT4,Starboard,"Liverpool, United Kingdom",29B/29B,1680.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,6.0
AURORA - 30B/30B,aurora,ISX3B,2020-09-30 07:31:00,2020-10-07 22:34:00,SCT4,Starboard,"Liverpool, United Kingdom",30B/30B,10983.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,10.0
AURORA - 31B/31B,aurora,ISX3B,2020-10-07 07:30:00,2020-10-17 23:01:00,SCT4,Starboard,"Liverpool, United Kingdom",31B/31B,15331.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,12.0
AURORA - 32A/32A,aurora,ISX3,2021-06-21 19:30:00,2021-06-23 10:50:00,SCT1,Starboard,"Rotterdam, Netherlands",32A/32A,2360.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,17.0
AURORA - 32B/32B,aurora,ISX3B,2020-10-17 07:30:00,2020-11-01 23:57:00,SCT4,Starboard,"Liverpool, United Kingdom",32B/32B,22587.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,12.0
AURORA - 33B/33B,aurora,ISX3B,2020-10-29 19:30:00,2020-11-14 23:20:00,SCT4,Starboard,"Liverpool, United Kingdom",33B/33B,23270.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,15.0
AURORA - 34B/34B,aurora,ISX3B,2020-11-05 11:59:00,2020-11-29 11:45:00,SCT4,Starboard,"Liverpool, United Kingdom",34B/34B,34546.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,16.0
