Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
INDEPENDENT HORIZON - Y34/Z34,INDEPENDENT HORIZON,ICL,ARRIVED,2021-08-26 19:30:00,2021-08-26 19:35:00,SCT3,Portside,2021-08-27 07:30:00,"Antwerpen, Belgium",Y34/Z34,2021-08-15 00:00:00,2143,5.0
INDEPENDENT HORIZON - Y36/Z36,INDEPENDENT HORIZON,ICL,ARRIVED,2020-09-10 19:00:00,2020-09-10 20:04:00,SCT1,Portside,2020-09-11 07:00:00,"Antwerpen, Belgium",Y36/Z36,2020-08-25 00:00:00,3817,64.0
INDEPENDENT HORIZON - Y38/Z38,INDEPENDENT HORIZON,ICL,ARRIVED,2021-09-23 19:30:00,2021-09-23 20:05:00,SCT3,Portside,2021-09-24 07:30:00,"Antwerpen, Belgium",Y38/Z38,2021-09-10 00:00:00,1471,35.0
INDEPENDENT HORIZON - Y40/Z40,INDEPENDENT HORIZON,ICL,ARRIVED,2020-10-08 19:00:00,2020-10-09 12:10:00,SCT1,Portside,2020-10-09 07:00:00,"Antwerpen, Belgium",Y40/Z40,2020-09-25 00:00:00,3918,1030.0
INDEPENDENT HORIZON - Y44/Z44,INDEPENDENT HORIZON,ICL,ARRIVED,2020-11-05 19:00:00,2020-11-05 22:20:00,SCT1,Portside,2020-11-06 07:00:00,"Antwerpen, Belgium",Y44/Z44,2020-10-20 00:00:00,3154,200.0
INDEPENDENT HORIZON - Y48/Z48,INDEPENDENT HORIZON,ICL,ARRIVED,2020-12-03 19:00:00,2020-12-04 22:09:00,SCT3,Portside,2020-12-04 07:00:00,"Antwerpen, Belgium",Y48/Z48,2020-11-15 00:00:00,2405,1629.0
INDEPENDENT HORIZON - Y52/Z52,INDEPENDENT HORIZON,ICL,ARRIVED,2020-12-31 07:00:00,2020-12-30 15:06:00,SCT3,Portside,2020-12-31 19:00:00,"Antwerpen, Belgium",Y52/Z52,2020-12-20 00:00:00,3303,-954.0
INDEPENDENT PRIMERO - Y31/Z31,INDEPENDENT PRIMERO,ICL,ARRIVED,2021-08-05 19:30:00,2021-08-05 18:30:00,SCT3,Portside,2021-08-06 07:30:00,"Antwerpen, Belgium",Y31/Z31,2021-07-20 00:00:00,2888,-60.0
INDEPENDENT PRIMERO - Y35/Z35,INDEPENDENT PRIMERO,ICL,ARRIVED,2021-09-02 19:30:00,2021-09-02 16:30:00,SCT3,Portside,2021-09-03 07:30:00,"Antwerpen, Belgium",Y35/Z35,2021-08-20 00:00:00,2998,-180.0
INDEPENDENT PRIMERO - Y39/Z39,INDEPENDENT PRIMERO,ICL,ARRIVED,2021-09-30 19:30:00,2021-10-01 14:00:00,SCT3,Portside,2021-10-01 07:30:00,"Antwerpen, Belgium",Y39/Z39,2021-09-15 00:00:00,2250,1110.0
INDEPENDENT PURSUIT - Y03/Z03,INDEPENDENT PURSUIT,ICL,ARRIVED,2021-01-21 19:00:00,2021-01-22 04:05:00,SCT3,Starboard,2021-01-22 07:00:00,"Antwerpen, Belgium",Y03/Z03,2021-01-10 00:00:00,895,545.0
INDEPENDENT PURSUIT - Y07/Z07,INDEPENDENT PURSUIT,ICL,ARRIVED,2021-02-18 19:30:00,2021-02-19 20:50:00,SCT3,Starboard,2021-02-19 07:30:00,"Antwerpen, Belgium",Y07/Z07,2021-02-05 00:00:00,123,1520.0
